1 10.270351,-3.300802,13.501338 0.256476 0.000490 -0.017629
2 10.840754,-3.133564,13.088771 0.273921 0.003477 -0.038244
3 2.612108,8.917445,14.561519 0.101086 0.207058 -0.210612
4 3.184727,8.937955,14.434451 0.104117 0.209722 -0.197137
5 3.084471,9.836356,13.859685 0.096793 0.210438 -0.184330
6 -13.047060,-10.414152,4.465629 -0.653216 -0.197252 0.254238
7 -13.056339,-10.283639,4.732918 -0.663312 -0.194713 0.255101
8 -13.276953,-10.100115,4.508342 -0.662508 -0.194498 0.255245
9 -4.216154,-16.570807,2.531041 -0.439414 -0.624337 0.081271
10 -13.326172,-9.920805,4.754361 -0.670865 -0.189026 0.252780
11 -4.295844,-16.648819,1.769422 -0.433567 -0.611129 0.047927
12 -16.552811,-4.035451,2.859879 -0.627101 -0.255384 0.080993
13 -4.464314,-16.248404,3.851855 -0.480320 -0.593556 0.154160
14 -16.966925,-2.573550,1.979805 -0.393462 -0.108373 -0.148358
15 -16.715496,-3.372293,2.768357 -0.564555 -0.209286 0.021025
16 10.783695,-3.744640,12.975287 0.279617 -0.014296 -0.026051
17 10.442600,-3.651288,13.277345 0.266499 -0.010598 -0.016239
18 3.347540,7.835727,15.026881 0.116514 0.207276 -0.219511
19 11.969425,-2.990245,12.101317 0.311149 0.006781 -0.096248
20 9.912457,-3.069087,13.819619 0.241478 0.009468 -0.013525
21 5.392771,5.731750,15.379632 0.133141 0.194260 -0.179703
22 3.902842,7.326327,15.149875 0.122075 0.206972 -0.213367
23 3.682171,8.203891,14.749272 0.113309 0.210412 -0.199999
24 3.176910,8.483764,14.708081 0.108500 0.208643 -0.207560
25 10.427822,-2.655462,13.522508 0.255167 0.017464 -0.032576
26 9.954491,-2.403844,13.920302 0.237047 0.026899 -0.025974
27 3.876396,7.764092,14.936780 0.118005 0.209321 -0.204015
28 2.554726,10.068542,13.800317 0.088532 0.205890 -0.189399
29 5.424906,6.380897,15.109824 0.131151 0.199355 -0.171734
30 2.847130,10.186294,13.655833 0.091899 0.208135 -0.184223
31 -5.504910,-16.109547,2.990107 -0.527797 -0.528026 0.131986
32 -4.876873,-16.425148,2.279494 -0.477564 -0.571765 0.084671
33 -13.537659,-9.802139,4.388203 -0.661938 -0.191480 0.253451
34 -5.031887,-16.132410,3.632636 -0.512842 -0.552476 0.152779
35 -16.081352,-5.583871,2.950426 -0.657352 -0.345333 0.137221
36 -16.994064,-2.797968,1.338425 -0.357116 -0.123838 -0.186814
37 -5.536911,-15.715612,4.596757 -0.570805 -0.512362 0.211616
38 -16.906195,-3.229447,1.476487 -0.407787 -0.172604 -0.131305
39 -4.671268,-16.350470,3.100563 -0.478640 -0.585391 0.119521
40 -16.655426,-3.979868,2.282568 -0.550780 -0.240177 0.013056
41 -16.888903,-2.999598,2.048530 -0.445281 -0.148472 -0.095539
42 -13.274084,-9.896864,4.946254 -0.676266 -0.187096 0.251696
43 -16.724150,-3.606732,2.395793 -0.538514 -0.211104 -0.001168
44 -3.845167,-16.648930,2.608746 -0.415048 -0.660956 0.076581
45 -4.043139,-16.499420,3.193904 -0.437767 -0.645827 0.112171
46 -16.544674,-3.712438,3.308808 -0.672481 -0.235399 0.117252
47 12.447975,-3.186956,11.556098 0.331021 0.003786 -0.123093
48 5.541582,5.424663,15.438247 0.134486 0.190658 -0.175857
49 2.189615,10.369781,13.638724 0.081404 0.202217 -0.190333
50 11.272970,-2.719499,12.812985 0.283533 0.012786 -0.064323
51 5.908741,5.435088,15.297793 0.136277 0.189026 -0.160783
52 5.171825,6.150302,15.293250 0.131024 0.198831 -0.184430
53 11.056200,-2.281094,13.084243 0.271147 0.024978 -0.060472
54 5.195669,6.760901,15.024577 0.128545 0.202959 -0.175565
55 12.358738,-2.107016,11.893458 0.313173 0.033236 -0.125778
56 4.313915,7.488433,14.957816 0.121594 0.209985 -0.195028
57 2.919680,9.451032,14.160583 0.097569 0.208783 -0.192746
58 11.687645,-2.302454,12.519439 0.292788 0.024000 -0.088995
59 6.041714,5.682141,15.155231 0.136634 0.191327 -0.154674
60 2.966810,10.413901,13.457019 0.093396 0.208908 -0.180727
61 5.708538,5.942706,15.184209 0.133962 0.194665 -0.165192
62 5.882849,6.255521,14.990548 0.134660 0.197307 -0.156701
63 3.160868,10.121411,13.635142 0.097191 0.211153 -0.180353
64 2.656036,11.631053,12.488853 0.087074 0.199586 -0.179978
65 -5.662771,-16.195883,2.093279 -0.519830 -0.522286 0.093969
66 -13.280376,-10.236843,4.177739 -0.649193 -0.196875 0.255949
67 -13.604649,-9.935661,3.847122 -0.644991 -0.200534 0.260792
68 -16.317463,-5.030589,2.629184 -0.626005 -0.323864 0.098332
69 -16.791168,-3.606786,1.867710 -0.477410 -0.210882 -0.059701
70 -12.746165,-10.669333,4.725643 -0.654763 -0.201255 0.253723
71 -16.517622,-4.444017,2.425492 -0.589918 -0.279561 0.054957
72 -17.024437,-2.444058,1.615023 -0.346436 -0.087913 -0.200054
73 -16.165718,-5.137334,3.281014 -0.691500 -0.328591 0.140431
74 -16.379025,-4.625461,2.967496 -0.659641 -0.291976 0.114511
75 -4.743412,-15.902047,4.837626 -0.527073 -0.547767 0.206048
76 -14.502207,-8.163740,4.648616 -0.730300 -0.213651 0.221584
77 -4.919533,-16.010458,4.270562 -0.522059 -0.549668 0.182012
78 -13.110096,-10.124802,4.922771 -0.671941 -0.191613 0.254548
79 -13.993921,-9.069424,4.528360 -0.688261 -0.190145 0.239882
80 -15.313315,-6.507957,4.656299 -0.773755 -0.392271 0.099988
81 -15.634809,-5.990642,4.263986 -0.744532 -0.445380 0.084951
82 -15.950294,-5.294135,4.007325 -0.743182 -0.373784 0.134981
83 -14.351997,-8.093763,5.204377 -0.760816 -0.204404 0.227243
84 -16.938543,-2.526498,2.263515 -0.414408 -0.118429 -0.123918
85 -14.348818,-7.868501,5.547153 -0.786171 -0.208595 0.237212
86 -14.817650,-7.318716,5.042660 -0.772284 -0.250142 0.194862
87 -15.603827,-5.764991,4.669158 -0.766326 -0.534562 -0.030685
88 -16.076015,-4.652506,4.289851 -0.829115 -0.280817 0.243641
89 -16.701914,-3.087604,3.155052 -0.586629 -0.191361 0.037956
90 -16.496733,-3.555896,3.697351 -0.721446 -0.228656 0.155790
91 11.430098,-3.407459,12.506099 0.297943 -0.006720 -0.062478
92 1.865179,10.708835,13.422858 0.073726 0.197974 -0.190221
93 12.564560,-2.553356,11.586715 0.326073 0.022269 -0.135649
94 12.848160,-2.691141,11.239371 0.337329 0.020416 -0.155029
95 1.916315,11.551181,12.696670 0.069475 0.190464 -0.187439
96 4.807005,7.205356,14.946788 0.124695 0.207084 -0.182993
97 2.472382,10.625007,13.391486 0.083913 0.203348 -0.185016
98 2.014301,11.223861,12.972457 0.072667 0.194836 -0.186415
99 1.822489,11.842311,12.439326 0.066586 0.185848 -0.189108
100 10.599712,-1.844309,13.523227 0.252235 0.037122 -0.050192
101 3.994730,8.408496,14.551219 0.113920 0.213308 -0.187013
102 3.618162,8.671153,14.495206 0.109366 0.211856 -0.192161
103 11.357754,-1.652405,12.918910 0.274484 0.039536 -0.081366
104 4.183233,8.001441,14.727084 0.117686 0.212124 -0.189310
105 10.908176,-1.340034,13.335605 0.256516 0.047977 -0.068046
106 10.462301,-1.462680,13.675769 0.244427 0.046266 -0.052106
107 5.619473,6.500056,14.987342 0.132106 0.199815 -0.163533
108 3.995371,8.709979,14.372338 0.112359 0.213751 -0.182084
109 2.130327,11.928094,12.307700 0.074636 0.189433 -0.186960
110 2.469587,11.869613,12.300948 0.083019 0.195448 -0.182513
111 3.289660,10.356982,13.425948 0.099259 0.211442 -0.176681
112 3.064903,10.769259,13.151519 0.095309 0.208562 -0.177519
113 6.134584,5.963721,15.008805 0.137130 0.194307 -0.150364
114 3.518003,10.267226,13.437106 0.103100 0.212334 -0.173907
115 -17.036144,-2.717538,0.892840 -0.312022 -0.115055 -0.228510
116 -16.453840,-4.873794,1.996709 -0.552545 -0.372814 0.046054
117 -4.958289,-16.503647,1.342943 -0.468161 -0.567522 0.044788
118 -16.165680,-5.625136,2.349107 -0.601605 -0.444128 0.121935
119 -5.496908,-15.937677,3.813187 -0.546715 -0.522358 0.171780
